181.441,0.00509226
172.801,0.015018
169.097,0.0249195
170.093,0.0349645
178.295,0.0449121
169.148,0.0552784
164.321,0.0653022
172.28,0.0752093
177.57,0.0852024
187.396,0.0951565
180.18,0.105514
173.282,0.115449
170.083,0.125313
170.207,0.13532
177.58,0.145251
170.193,0.155577
164.631,0.165537
171.775,0.175472
178.838,0.185431
187.428,0.19533
180.273,0.205711
173.168,0.215619
170.208,0.225458
170.461,0.235458
177.413,0.245402
169.501,0.255773
165.233,0.265745
170.948,0.275644
179.696,0.285562
187.538,0.295476
179.491,0.305815
173.36,0.315757
170.28,0.325617
170.443,0.335593
177.032,0.345499
169.511,0.355898
165.645,0.365819
170.293,0.375739
180.82,0.385662
187.144,0.395528
179.543,0.405834
173.478,0.41578
170.815,0.425603
170.573,0.435594
177.347,0.445511
169.622,0.455865
166.09,0.465822
169.673,0.475746
181.016,0.485678
187.151,0.495567
179.91,0.505825
173.642,0.515757
169.547,0.525627
171.545,0.535632
176.694,0.545556
168.911,0.55592
166.913,0.565947
170.283,0.575988
180.606,0.586026
188.31,0.595934
178.973,0.606271
173.045,0.61621
170.315,0.626082
170.936,0.636119
176.689,0.646081
166.854,0.656485
167.8,0.666484
172.16,0.67631
179.968,0.686318
188.675,0.696225
179.06,0.706509
172.763,0.716439
170.382,0.726316
171.754,0.736338
178,0.746325
166.9,0.756793
166.898,0.766652
174.077,0.776607
180.761,0.78651
188.58,0.79638
179.758,0.806698
172.085,0.816594
170.554,0.826498
172.103,0.836424
178.608,0.84635
168.489,0.856825
167.095,0.866696
173.717,0.876682
182.517,0.886646
188.626,0.896484
180.9,0.906734
172.371,0.916665
170.152,0.926568
173.963,0.936495
178.18,0.946413
169.888,0.956884
167.731,0.966734
172.503,0.976715
183.079,0.986696
189.659,0.996593
181.743,1.00682
172.489,1.01676
171.226,1.02662
172.755,1.03649
177.306,1.04645
170.605,1.05695
167.155,1.06682
172.149,1.07676
182.967,1.08672
189.864,1.09663
180.239,1.10684
172.76,1.11683
172.922,1.12662
171.438,1.13653
177.396,1.14657
168.478,1.15688
167.686,1.16691
173.231,1.17671
181.822,1.18666
190.032,1.19663
178.95,1.20679
173.347,1.21674
172.956,1.22658
170.94,1.23662
177.125,1.24662
166.763,1.25712
168.093,1.26718
174.908,1.27701
182.568,1.28695
189.335,1.29693
178.509,1.30717
173.04,1.31706
172.235,1.32701
171.969,1.33712
178.537,1.34704
167.481,1.35751
168.537,1.36737
174.8,1.37733
183.868,1.38721
189.14,1.39705
179.337,1.40737
173.718,1.41725
171.278,1.42723
172.54,1.43722
179.39,1.44702
168.63,1.45766
169.1,1.46749
174.195,1.47747
184.488,1.48754
190.396,1.49736
179.757,1.50759
172.989,1.5174
172.137,1.52736
173.373,1.53732
178.123,1.54719
166.817,1.55786
169.443,1.56775
175.557,1.57758
183.164,1.58755
190.087,1.59761
179.25,1.60771
173.497,1.61756
172.242,1.62748
172.232,1.63737
177.982,1.64738
166.877,1.65791
169.904,1.66785
175.508,1.6777
184.538,1.68758
189.727,1.69757
178.415,1.70775
173.886,1.71775
173.458,1.72754
171.273,1.73749
179.665,1.74761
168.482,1.75792
169.983,1.76778
174.548,1.77777
185.845,1.78765
190.148,1.79753
179.921,1.80786
173.166,1.81779
173.395,1.82755
173.227,1.83754
181.313,1.84763
168.868,1.85799
169.575,1.8678
176.35,1.87778
184.624,1.88772
191.337,1.89752
181.795,1.9078
174.185,1.91769
171.147,1.92761
175.654,1.93752
176.518,1.9474
167.029,1.95801
169.694,1.96782
177.75,1.97779
183.012,1.9877
191.284,1.99766
180.737,2.00781
174.622,2.01774
172.712,2.02776
174.249,2.03774
177.411,2.04767
166.305,2.05828
171.011,2.0683
176.294,2.07822
186.428,2.08813
189.389,2.09812
178.664,2.10831
174.69,2.1182
173.724,2.12815
173.281,2.1381
179.583,2.14818
169.419,2.15867
171.075,2.16854
176.523,2.1785
186.867,2.18843
190.889,2.19835
178.562,2.20858
174.92,2.21846
174.476,2.22838
172.746,2.23833
182.776,2.24832
168.919,2.25883
171.192,2.26868
178.472,2.27864
185.444,2.28856
193.27,2.29852
180.298,2.30877
174.064,2.31867
174.697,2.32852
174.676,2.33851
180.533,2.34848
167.53,2.3589
172.517,2.36876
177.479,2.3788
186.895,2.38868
191.498,2.39858
181.203,2.4087
174.592,2.41864
173.5,2.42856
176.595,2.43854
177.414,2.44855
168.897,2.45893
172.118,2.4688
176.877,2.47882
188.594,2.48869
190.015,2.49858
179.921,2.50875
175.252,2.51869
173.65,2.52864
175.387,2.53881
179.72,2.54899
169.679,2.55942
172.333,2.56927
178.947,2.57922
187.138,2.58917
192.939,2.59914
178.833,2.60934
174.98,2.61926
174.826,2.62912
174.579,2.63912
182.323,2.64918
168.722,2.65963
173.407,2.66947
179.126,2.67946
187.38,2.68935
192.704,2.69937
179.737,2.70958
175.637,2.71946
